id,nombre_archivo,emisor,concepto_de_gasto,fecha_emision,importe_sin_iva,origen_campos
GAS-47E7DEB57217,02_Zeena_Data_enGira.pdf,,Análisis de rendimiento de newsleXer y estrategia de markeUng digital,2026-04-10,1800.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-E0739A020531,03_Zeena_MKT_engira.pdf,,"Campaña de markeUng digital mulUcanal, abril, mayo y junio 2026: LinkedIn, IG, Newsle^er - 50%",2026-04-28,2660.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-F323A293403E,04_Zeena_reporting_enGira.pdf,,Automatización de reporting e integración de PostHog en la plataforma para control de navegación de usuarios | Mantenimiento técnico plataforma enGira!,2026-05-12,3283.56,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-762CCACDFD0B,07_26_ACaboalles_ArticulonGira.pdf,,gestión cultural orientada a los públicos | en España,,480.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-0E0C333C6CC7,1_enGira_programa_acompañamiento.pdf,,Diseño y ejecución de los Programas de Acompañamiento para arUstas enfocados en la distribución de espectáculos,2025-11-27,4000.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-F13022A9BFF8,20251020_100640.jpg,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-F3E2C9E8AB61,A-V2025-5238950.pdf,,PAT. CLASSICAS | RON AÑEJO | CERVEZA CLASICA | PEPINO,2025-10-20,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-15269D629D8D,Adobe Scan 20 oct 2025 (1).pdf,,,2025-10-20,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-3941547E59FA,Adobe Scan 20 oct 2025.pdf,,,2025-10-20,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-E0D1D4C4EBC5,Adobe Scan 21 oct 2025.pdf,,UDS  PVP IMPORTE | del  de alojamiento y/o restaura,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-8650B91C19E0,Adobe Scan 23 oct 2025.pdf,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-8D78700B1ED4,Adobe Scan 24 oct 2025 (1).pdf,,CANT.  PRECIO IMPORTE,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-E7E9C444791B,Adobe Scan 24 oct 2025.pdf,,Uds.  Importe,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-6E0D84B99726,BDC-6790184301-invoice-2847.pdf,Nairaalb 114 SL,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-7E881482B23D,BPBLO_invoice_TB2504602_20251122_235002.pdf,"BYPILLOW The Bloom | HOTEL RESIDENCIA CONDAL, SL",Individual Sólo Alojamiento | Booking.com crédito,2025-11-23,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-A92D273B60CD,CUOTA AGOSTO.png,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-7BCB41505CD7,CUOTA JULIO.png,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-B29670AF7182,CUOTA SEPT.png,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-E48CB881DD7A,Captura de pantalla 2025-11-25 a las 11.29.12.png,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
